Boris;2021;4;100;0;0.1384999999999997;0.1279999999999859;0.1770000000000067;
Yann;2021;2;100;100;0;0;0;
Boris;2021;5;100;0;2.85768;2.527999999999999;4.256000000000007;
Yann;2021;5;100;100;0;0;0;
Boris;2021;3;100;0;0.04758999999999919;0.04399999999998272;0.06900000000000262;
Boris;2021;2;100;0;0.1836299999999999;0.1719999999999686;0.2160000000000082;
Yann;2021;4;100;100;0;0;0;
Yann;2021;1;200;0;0.08154000000000039;0.07499999999998863;0.09799999999999898;
Yann;2021;3;100;100;0;0;0;
Boris;2021;1;200;0;0.04597499999999961;0.04199999999997317;0.06200000000001182;
